CustomerID,Recency,Frequency,Monetary,LastPurchaseDate,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,326,1,77183.6,2011-01-18 10:01:00,1,1,5,115,At Risk
12347,2,7,4310.0,2011-12-07 15:52:00,5,5,5,555,Champions
12348,75,4,1797.24,2011-09-25 13:13:00,2,4,4,244,At Risk
12349,19,1,1757.55,2011-11-21 09:51:00,4,1,4,414,New Customers
12350,310,1,334.40000000000003,2011-02-02 16:01:00,1,1,2,112,Lost Customers
12352,36,8,2506.04,2011-11-03 14:37:00,3,5,5,355,Loyal Customers
12353,204,1,89.0,2011-05-19 17:47:00,1,1,1,111,Lost Customers
12354,232,1,1079.4,2011-04-21 13:11:00,1,1,4,114,At Risk
12355,214,1,459.40000000000003,2011-05-09 13:49:00,1,1,2,112,Lost Customers
12356,23,3,2811.43,2011-11-17 08:40:00,4,3,5,435,Potential Loyalists
12357,33,1,6207.67,2011-11-06 16:07:00,3,1,5,315,Other
12358,2,2,1168.06,2011-12-08 10:26:00,5,2,4,524,Potential Loyalists
12359,58,4,6310.03,2011-10-13 12:47:00,3,4,5,345,Loyal Customers
12360,52,3,2662.06,2011-10-18 15:22:00,3,3,5,335,Other
12361,287,1,189.9,2011-02-25 13:51:00,1,1,1,111,Lost Customers
12362,3,10,5226.2300000000005,2011-12-06 15:40:00,5,5,5,555,Champions
12363,110,2,552.0,2011-08-22 10:18:00,2,2,3,223,Lost Customers
12364,8,4,1313.1,2011-12-02 10:22:00,5,4,4,544,Champions
12365,291,2,641.38,2011-02-21 14:04:00,1,2,3,123,Lost Customers
12367,4,1,168.9,2011-12-05 16:48:00,5,1,1,511,New Customers
12370,51,4,3541.94,2011-10-19 14:51:00,3,4,5,345,Loyal Customers
12371,45,2,1887.96,2011-10-26 10:16:00,3,2,4,324,Other
12372,72,3,1298.04,2011-09-29 12:12:00,2,3,4,234,At Risk
12373,311,1,364.6,2011-02-01 13:10:00,1,1,2,112,Lost Customers
12374,25,1,742.9300000000001,2011-11-14 15:37:00,4,1,3,413,New Customers
12375,11,2,457.5,2011-11-29 10:36:00,5,2,2,522,Potential Loyalists
12377,315,2,1628.1200000000001,2011-01-28 15:45:00,1,2,4,124,At Risk
12378,130,1,4008.62,2011-08-02 10:34:00,2,1,5,215,At Risk
12379,82,2,852.24,2011-09-19 10:09:00,2,2,3,223,Lost Customers
12380,22,4,2724.81,2011-11-18 11:27:00,4,4,5,445,Champions
12381,5,5,1845.31,2011-12-05 12:44:00,5,4,4,544,Champions
12383,185,5,1850.56,2011-06-08 08:02:00,1,4,4,144,At Risk
12384,29,2,585.27,2011-11-11 08:39:00,4,2,3,423,Potential Loyalists
12386,338,2,401.9,2011-01-06 12:37:00,1,2,2,122,Lost Customers
12388,16,6,2780.6600000000003,2011-11-24 12:30:00,4,4,5,445,Champions
12390,80,1,549.84,2011-09-21 09:33:00,2,1,3,213,Lost Customers
12391,22,1,439.66,2011-11-18 12:07:00,4,1,2,412,New Customers
12393,72,4,1582.6000000000001,2011-09-28 15:41:00,2,4,4,244,At Risk
12394,64,2,1272.48,2011-10-07 08:08:00,3,2,4,324,Other
12395,19,12,3018.63,2011-11-20 15:21:00,4,5,5,455,Champions
12397,36,2,2409.9,2011-11-04 09:52:00,3,2,5,325,Other
12398,46,1,1635.6599999999999,2011-10-25 10:27:00,3,1,4,314,Other
