revenue_rank,Country,total_revenue
1,United Kingdom,7285024.644
2,Netherlands,285446.34
3,EIRE,265262.46
4,Germany,228678.4
5,France,208934.31
6,Australia,138453.81
7,Spain,61558.56
8,Switzerland,56443.95
9,Belgium,41196.340000000004
10,Sweden,38367.83
11,Japan,37416.37
12,Norway,36165.44
13,Portugal,33375.840000000004
14,Finland,22546.08
15,Singapore,21279.29
16,Channel Islands,20440.54
17,Denmark,18955.34
18,Italy,17483.24
19,Cyprus,13502.85
20,Austria,10198.68
21,Poland,7334.65
22,Israel,7215.84
23,Greece,4760.52
24,Iceland,4310.0
25,Canada,3666.38
26,USA,3580.39
27,Malta,2725.59
28,Unspecified,2660.77
29,United Arab Emirates,1902.28
30,Lebanon,1693.88
31,Lithuania,1661.06
32,European Community,1300.25
33,Brazil,1143.6
34,RSA,1002.3100000000001
35,Czech Republic,826.74
36,Bahrain,548.4
37,Saudi Arabia,145.92000000000002
